职业,公司,工作地点,薪资,发布时间
大数据研发工程师,“前程无忧”51job.com（上海）,上海,面议,04-04
Python开发工程师,“前程无忧”51job.com（上海）,上海,面议,04-07
python Web开发工程师,上海尔易信息科技有限公司,上海-浦东新区,1-1.3万/月,04-07
Python开发工程师,安徽商信政通信息技术股份有限公司...,异地招聘,0.8-1.2万/月,04-07
Python开发工程师(金融科技),交银企业管理服务（上海）有限公司...,上海-徐汇区,0.7-1.5万/月,04-07
Python开发专家,浙江森马服饰股份有限公司,上海-闵行区,3-3.5万/月,04-07
Python开发工程师,上海宽带技术及应用工程研究中心,上海-静安区,1-1.5万/月,04-07
python web后台开发,繁翰信息技术（上海）有限公司,上海-长宁区,0.6-1.5万/月,04-07
Python开发工程师,上海莫能臣智能科技有限公司,上海-杨浦区,0.8-1.5万/月,04-07
python数据分析,上海功存智能科技有限公司,上海-宝山区,1.5-2.5万/月,04-07
Python高级软件工程师,上海碳索能源环境服务有限公司,上海-闵行区,21-35万/年,04-07
P0076-python开发工程师,中盈优创资讯科技有限公司,上海-浦东新区,1-2万/月,04-07
Python 应用开发工程师,上海沪万智能科技有限公司,上海-长宁区,0.7-1.3万/月,04-07
高级python后端工程师（AI平台）,上海萃图数字科技有限公司,上海-杨浦区,1.5-2万/月,04-07
python数据分析师,上海澳马信息技术服务有限公司,上海-浦东新区,1-1.5万/月,04-07
Python后端开发工程师,上海众言网络科技有限公司,上海-徐汇区,1.2-1.8万/月,04-07
Python全栈工程师,上海沪源医药有限公司,上海-闵行区,0.8-1.6万/月,04-07
python开发,上海雍米计算机科技有限公司,上海-虹口区,2-3万/月,04-07
高级Python/Django后端软件工程师,上海东方低碳科技产业股份有限公司...,上海-长宁区,1.5-2万/月,04-07
软件工程师（汽车行业优先）精通python,上海恺骊车辆技术有限责任公司,上海-浦东新区,0.8-2万/月,04-07
Python 爬虫工程师（薪智）,上海易路软件有限公司,上海-闵行区,1.5-2万/月,04-07
高级Python开发工程师,字节跳动,上海,2.5-5万/月,04-07
Python开发工程师,我查查信息技术（上海）有限公司,上海,1.5-2万/月,04-07
Python开发工程师,上海趋佳信息科技有限公司,上海-浦东新区,1.5-2.2万/月,04-07
Python开发经理,上海金杉数金互联网科技有限公司,上海-浦东新区,2-2.5万/月,04-07
Python高级开发工程师,上海催米网络科技有限公司,上海-浦东新区,1.8-3万/月,04-07
高级Python开发工程师,有因信息科技（上海）有限公司,上海-闵行区,1.5-2.5万/月,04-07
python开发,深圳市若昕科技有限公司,上海-虹口区,2-3万/月,04-07
python工程师,上海穗农信息科技股份有限公司,上海-松江区,0.8-2万/月,04-07
Python（Odoo）工程师,小派科技（上海）有限责任公司,上海-浦东新区,1-1.5万/月,04-07
Python/Odoo高级开发工程师,上海喜宝供应链管理有限公司,上海,2.5-3万/月,04-07
Python开发工程师,森松集团（中国）,上海-浦东新区,0.8-1.5万/月,04-07
Python开发工程师,上海维弘信息科技有限公司,上海-长宁区,1-1.5万/月,04-07
Python高级开发工程师,上海富欣智能交通控制有限公司,上海-浦东新区,1.5-2万/月,04-07
中级后端工程师(python/odoo）,上海存融工业装备技术有限公司,上海-松江区,1.5-2万/月,04-07
实习生（Python开发）,上海百胜软件股份有限公司,上海,1-5千/月,04-07
Python开发工程师,上海欧锐信息咨询有限公司,上海-杨浦区,0.8-1.2万/月,04-07
Python后端开发,乐陪（上海）文化传播有限公司,上海-徐汇区,1.5-2.5万/月,04-07
Python开发工程师,上海伦伟实业有限公司,上海,1.2-1.5万/月,04-07
Python软件工程师,上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月,04-07
初级python/R 工程师,上海柯林布瑞信息技术有限公司,上海-徐汇区,0.5-1万/月,04-07
python,浙江优创信息技术有限公司,上海-浦东新区,6.5-9.5千/月,04-07
Python开发工程师,上海华依科技集团股份有限公司,上海-浦东新区,0.8-1.5万/月,04-07
python开发项目经理,上海犀语科技有限公司,上海-杨浦区,2.6-4万/月,04-07
Python/PHP后端程序员,上海萌果信息科技有限公司,上海-徐汇区,1-1.5万/月,04-07
Python开发工程师,奥动新能源汽车科技有限公司,上海-浦东新区,15-25万/年,04-07
Python开发工程师（外汇岗位）,上海向普科技有限公司,上海-浦东新区,1-1.6万/月,04-07
Python开发工程师,申朴信息技术（上海）股份有限公司...,上海-浦东新区,1-1.7万/月,04-07
Python开发工程师(***),上海铠卡医疗器械贸易有限公司,上海,1000元/天,04-07
python开发,广州华钧软件科技有限公司,上海-虹口区,2-3万/月,04-07
Python开发工程师,优维科技（深圳）有限公司,上海-浦东新区,1.1-2万/月,04-07
Python 应用开发工程师,上海沪万智能科技有限公司,上海-长宁区,0.7-1.3万/月,04-07
Python 后端项目经理,深圳市乐瀛科技有限公司,深圳,1.5-2万/月,04-07
python开发工程师,宁波渠成集团有限公司,宁波,12-20万/年,04-07
高级python后端工程师（AI平台）,上海萃图数字科技有限公司,上海-杨浦区,1.5-2万/月,04-07
Python开发工程师,深圳市博悦科创科技有限公司,深圳-福田区,1-1.5万/月,04-07
Python开发工程师,南京创优科技有限责任公司,南京,1-1.5万/月,04-07
20届校招-python开发工程师（长沙研究所）,深信服科技股份有限公司,深圳,1-1.5万/月,04-07
Python开发工程师,深圳市沃信科技有限公司,深圳,6-8千/月,04-07
Python开发工程师,深圳市弘长科技有限公司,深圳,面议,04-07
Python少儿编程老师,卡巴教育集团,武汉-洪山区,0.8-1万/月,04-07
python数据分析师,上海澳马信息技术服务有限公司,上海-浦东新区,1-1.5万/月,04-07
初级/中级python开发,深圳市网新新思软件有限公司,深圳-罗湖区,1-1.5万/月,04-07
Python工程师,中泰信达环保科技（武汉）有限公司...,武汉-汉阳区,5-8千/月,04-07
Python系统工程师,深圳市衍盛资产管理有限公司,深圳,1.5-2万/月,04-07
Python/Odoo 软件开发工程师,北京中达讯科技有限公司,北京,15-20万/年,04-07
Python后端开发工程师,上海众言网络科技有限公司,上海-徐汇区,1.2-1.8万/月,04-07
Python全栈工程师,上海沪源医药有限公司,上海-闵行区,0.8-1.6万/月,04-07
python开发工程师,沈阳多码斯信息技术有限公司,沈阳-浑南区,4.5-8千/月,04-07
python web工程师,深圳上翼技术有限公司,深圳,0.8-1.2万/月,04-07
